price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
9400,2011.0,bmw x5,good,6.0,gas,145000.0,automatic,SUV,,1.0,2018-06-23,19
25500,2011.0,ford f-150,good,6.0,gas,88705.0,automatic,pickup,white,1.0,2018-10-19,50
5500,2013.0,hyundai sonata,like new,4.0,gas,110000.0,automatic,sedan,red,,2019-02-07,79
14900,2017.0,chrysler 200,excellent,4.0,gas,80903.0,automatic,sedan,black,,2019-04-02,28
14990,2014.0,chrysler 300,excellent,6.0,gas,57954.0,automatic,sedan,black,1.0,2018-06-20,15
12990,2015.0,toyota camry,excellent,4.0,gas,79212.0,automatic,sedan,white,,2018-12-27,73
15990,2013.0,honda pilot,excellent,6.0,gas,109473.0,automatic,SUV,black,1.0,2019-01-07,68
11500,2012.0,kia sorento,excellent,4.0,gas,104174.0,automatic,SUV,,1.0,2018-07-16,19
9200,2008.0,honda pilot,excellent,6.0,gas,147191.0,automatic,SUV,blue,1.0,2019-02-15,17
19500,2011.0,chevrolet silverado 1500,excellent,8.0,gas,128413.0,automatic,pickup,black,1.0,2018-09-17,38
8990,2012.0,honda accord,excellent,4.0,gas,111142.0,automatic,sedan,grey,,2019-03-28,29
18990,2012.0,ram 1500,excellent,8.0,gas,140742.0,automatic,pickup,,1.0,2019-04-02,37
16500,2018.0,hyundai sonata,excellent,4.0,gas,22104.0,automatic,sedan,silver,,2019-01-14,29
12990,2009.0,gmc yukon,excellent,8.0,gas,132285.0,automatic,SUV,black,1.0,2019-01-31,24
17990,2013.0,ram 1500,excellent,8.0,gas,96100.0,automatic,pickup,red,1.0,2018-05-15,111
14990,2010.0,ram 1500,excellent,8.0,gas,130725.0,automatic,pickup,red,1.0,2018-12-30,13
13990,2014.0,jeep cherokee,excellent,6.0,gas,100669.0,automatic,SUV,red,1.0,2018-08-16,25
12500,2013.0,chevrolet traverse,excellent,6.0,gas,128325.0,automatic,SUV,white,1.0,2019-04-09,13
13990,2018.0,hyundai elantra,excellent,4.0,gas,31932.0,automatic,sedan,red,,2018-08-25,27
6990,2009.0,chevrolet tahoe,excellent,8.0,gas,147485.0,automatic,SUV,silver,1.0,2018-08-05,28
5250,2007.0,toyota rav4,good,6.0,gas,154000.0,automatic,SUV,,,2018-08-22,8
7500,2004.0,chevrolet silverado,like new,8.0,gas,180000.0,automatic,truck,red,1.0,2019-01-05,64
7500,2004.0,jeep wrangler,good,6.0,gas,112723.0,automatic,SUV,red,1.0,2018-05-17,39
3950,2009.0,chrysler 200,excellent,4.0,gas,,automatic,sedan,red,,2018-06-11,40
11499,2017.0,chevrolet malibu,like new,4.0,gas,34104.0,automatic,sedan,,,2018-07-26,43
8499,2014.0,ford fusion se,like new,4.0,gas,79523.0,automatic,sedan,red,,2018-10-25,23
12999,2015.0,chevrolet impala,like new,6.0,gas,39368.0,automatic,sedan,custom,,2018-05-19,42
29800,2012.0,chevrolet corvette,excellent,8.0,gas,57413.0,automatic,coupe,orange,,2018-10-22,101
5495,2010.0,chevrolet impala,excellent,6.0,gas,122087.5,automatic,sedan,white,,2019-02-18,20
5000,2009.0,jeep liberty,good,6.0,gas,137273.0,automatic,SUV,white,1.0,2019-02-19,14
11999,2017.0,toyota camry le,excellent,4.0,gas,35721.0,automatic,sedan,,,2018-09-13,25
9499,2015.0,nissan altima,like new,4.0,gas,51848.0,automatic,sedan,grey,,2018-11-12,7
3890,2011.0,subaru outback,excellent,4.0,gas,300000.0,automatic,SUV,white,1.0,2018-12-25,31
9500,2008.0,toyota highlander,good,6.0,gas,149799.0,automatic,SUV,,,2018-06-04,121
14999,2015.0,dodge charger,good,6.0,gas,63037.0,automatic,sedan,,,2018-05-11,37
10499,2013.0,chrysler 300,good,6.0,gas,88042.0,automatic,sedan,,,2018-05-05,22
7500,2005.0,toyota tacoma,good,6.0,gas,160000.0,automatic,pickup,,,2018-07-22,44
7999,2015.0,chrysler 200,good,4.0,gas,76230.5,automatic,sedan,,,2019-03-08,29
8000,2009.0,ford f-150,good,8.0,gas,234000.0,automatic,truck,black,1.0,2019-03-31,1
11499,2017.0,chevrolet equinox,like new,4.0,gas,54772.0,automatic,SUV,grey,1.0,2019-01-12,36
11995,2017.0,nissan rogue,like new,4.0,gas,33832.0,automatic,SUV,silver,1.0,2018-09-20,21
5100,2008.0,honda cr-v,excellent,4.0,gas,188000.0,automatic,SUV,red,1.0,2018-11-18,10
4500,2004.0,jeep grand cherokee,good,6.0,gas,168821.0,automatic,SUV,,1.0,2019-01-31,60
2400,2001.0,toyota camry,good,4.0,gas,277564.0,automatic,coupe,yellow,,2018-05-27,51
11200,2015.0,dodge charger,excellent,6.0,gas,90302.0,automatic,sedan,black,1.0,2018-07-19,73
12500,2008.0,toyota 4runner,good,6.0,gas,141098.0,automatic,SUV,grey,,2019-03-10,35
9500,2014.0,ford focus,excellent,4.0,diesel,46000.0,automatic,sedan,,,2018-10-09,24
3200,2006.0,honda civic,excellent,4.0,gas,255390.0,automatic,sedan,blue,,2018-10-18,23
6200,2006.0,ford f-150,excellent,6.0,gas,69698.0,automatic,truck,custom,,2018-05-03,50
3800,2012.0,ford focus,good,4.0,gas,130323.0,automatic,sedan,black,,2018-11-29,261
3300,2011.0,kia soul,good,4.0,gas,188963.0,manual,SUV,black,,2019-02-16,71
10400,2012.0,chevrolet colorado,excellent,5.0,gas,111871.0,automatic,truck,red,1.0,2019-01-30,27
19700,2017.0,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,,,2018-05-16,99
4200,2006.0,jeep grand cherokee,excellent,6.0,gas,153495.0,automatic,SUV,white,1.0,2018-07-01,79
4877,2012.0,chevrolet cruze,excellent,4.0,gas,163261.0,automatic,sedan,white,,2019-04-18,21
3200,2004.0,bmw x5,excellent,6.0,gas,127148.0,automatic,SUV,black,1.0,2019-04-09,10
5200,2006.0,toyota highlander,good,6.0,gas,186000.0,automatic,SUV,green,,2018-12-20,2
13000,2005.0,ram 1500,good,8.0,gas,146000.0,automatic,truck,grey,1.0,2019-03-14,26
16999,2013.0,chevrolet silverado 1500,good,8.0,gas,137230.0,automatic,truck,white,1.0,2018-05-29,24
10499,2017.0,chevrolet cruze,good,4.0,gas,53601.0,automatic,sedan,black,,2019-01-13,48
15999,2017.0,chevrolet cruze,good,4.0,gas,17498.0,automatic,sedan,black,,2018-11-07,54
12800,2011.0,ford f-150,excellent,6.0,gas,108500.0,automatic,pickup,white,,2018-09-23,15
14999,2013.0,chevrolet silverado 3500hd,good,8.0,gas,120000.0,automatic,truck,white,1.0,2018-05-09,22
14950,2012.0,ram 1500,excellent,8.0,gas,114773.0,automatic,truck,grey,1.0,2019-04-09,85
6950,2013.0,nissan altima,excellent,4.0,gas,158786.0,automatic,sedan,,,2018-12-24,41
7800,2011.0,ford f-150,like new,8.0,gas,97510.0,automatic,truck,white,1.0,2019-02-20,39
5500,2006.0,honda accord,good,4.0,gas,154183.0,automatic,sedan,silver,,2018-11-27,15
